Date,btc,oil,ethereum,euro,gold,tether,dow,sp,nasdaq,tenyear,btc_ytd,btc_change_ytd,oil_ytd,oil_change_ytd,ethereum_ytd,ethereum_change_ytd,euro_ytd,euro_change_ytd,gold_ytd,gold_change_ytd,tether_ytd,tether_change_ytd,dow_ytd,dow_change_ytd,sp_ytd,sp_change_ytd,nasdaq_ytd,nasdaq_change_ytd,tenyear_ytd,tenyear_change_ytd,btc_tmr,btc_change_tmr,oil_tmr,oil_change_tmr,ethereum_tmr,ethereum_change_tmr,euro_tmr,euro_change_tmr,gold_tmr,gold_change_tmr,tether_tmr,tether_change_tmr,dow_tmr,dow_change_tmr,sp_tmr,sp_change_tmr,nasdaq_tmr,nasdaq_change_tmr,tenyear_tmr,tenyear_change_tmr
2016-01-11,448.4280090332031,31.40999984741211,,1.0941038131713867,1096.5,,16398.5703125,1923.6700439453125,4637.990234375,2.1579999923706055,447.9909973144531,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,435.69000244140625,0,30.440000534057617,0,,0,1.0857999324798584,0,1085.5999755859375,0,,0,16516.220703125,1,1938.6800537109375,1,4685.919921875,1,2.1019999980926514,0
2016-01-12,435.69000244140625,30.440000534057617,,1.0857999324798584,1085.5999755859375,,16516.220703125,1938.6800537109375,4685.919921875,2.1019999980926514,448.4280090332031,0,31.40999984741211,0,,0,1.0941038131713867,0,1096.5,0,,0,16398.5703125,1,1923.6700439453125,1,4637.990234375,1,2.1579999923706055,0,432.3710021972656,0,30.479999542236328,1,,0,1.0843987464904785,0,1087.5,1,,0,16151.41015625,0,1890.280029296875,0,4526.06005859375,0,2.065999984741211,0
2016-01-13,432.3710021972656,30.479999542236328,,1.0843987464904785,1087.5,,16151.41015625,1890.280029296875,4526.06005859375,2.065999984741211,435.69000244140625,0,30.440000534057617,1,,0,1.0857999324798584,0,1085.5999755859375,1,,0,16516.220703125,0,1938.6800537109375,0,4685.919921875,0,2.1019999980926514,0,430.3059997558594,0,31.200000762939453,1,,0,1.0886012315750122,1,1073.9000244140625,0,,0,16379.0498046875,1,1921.8399658203125,1,4615.0,1,2.0980000495910645,1
2016-01-14,430.3059997558594,31.200000762939453,,1.0886012315750122,1073.9000244140625,,16379.0498046875,1921.8399658203125,4615.0,2.0980000495910645,432.3710021972656,0,30.479999542236328,1,,0,1.0843987464904785,1,1087.5,0,,0,16151.41015625,1,1890.280029296875,1,4526.06005859375,1,2.065999984741211,1,364.33099365234375,0,29.420000076293945,0,,0,1.085894227027893,0,1091.5,1,,0,15988.080078125,0,1880.3299560546875,0,4488.419921875,0,2.0329999923706055,0
2016-01-15,364.33099365234375,29.420000076293945,,1.085894227027893,1091.5,,15988.080078125,1880.3299560546875,4488.419921875,2.0329999923706055,430.3059997558594,0,31.200000762939453,0,,0,1.0886012315750122,0,1073.9000244140625,1,,0,16379.0498046875,0,1921.8399658203125,0,4615.0,0,2.0980000495910645,0,387.5360107421875,1,,0,,0,,0,,0,,0,,0,,0,,0,,0
2016-01-16,387.5360107421875,,,,,,,,,,364.33099365234375,1,29.420000076293945,0,,0,1.085894227027893,0,1091.5,0,,0,15988.080078125,0,1880.3299560546875,0,4488.419921875,0,2.0329999923706055,0,382.29901123046875,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
2016-01-17,382.29901123046875,,,,,,,,,,387.5360107421875,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,387.1679992675781,1,,0,,0,1.0920010805130005,0,,0,,0,,0,,0,,0,,0
2016-01-18,387.1679992675781,,,1.0920010805130005,,,,,,,382.29901123046875,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,380.14898681640625,0,28.459999084472656,0,,0,1.0895025730133057,0,1089.9000244140625,0,,0,16016.01953125,0,1881.3299560546875,0,4476.9501953125,0,2.0350000858306885,0
2016-01-19,380.14898681640625,28.459999084472656,,1.0895025730133057,1089.9000244140625,,16016.01953125,1881.3299560546875,4476.9501953125,2.0350000858306885,387.1679992675781,0,,0,,0,1.0920010805130005,0,,0,,0,,0,,0,,0,,0,420.2300109863281,1,26.549999237060547,0,,0,1.09129798412323,1,1107.0999755859375,1,,0,15766.740234375,0,1859.3299560546875,0,4471.68994140625,0,1.9839999675750732,0
2016-01-20,420.2300109863281,26.549999237060547,,1.09129798412323,1107.0999755859375,,15766.740234375,1859.3299560546875,4471.68994140625,1.9839999675750732,380.14898681640625,1,28.459999084472656,0,,0,1.0895025730133057,1,1089.9000244140625,1,,0,16016.01953125,0,1881.3299560546875,0,4476.9501953125,0,2.0350000858306885,0,410.2619934082031,0,29.530000686645508,1,,0,1.0877013206481934,0,1099.0999755859375,0,,0,15882.6796875,1,1868.989990234375,1,4472.06005859375,1,2.0190000534057617,1
2016-01-21,410.2619934082031,29.530000686645508,,1.0877013206481934,1099.0999755859375,,15882.6796875,1868.989990234375,4472.06005859375,2.0190000534057617,420.2300109863281,0,26.549999237060547,1,,0,1.09129798412323,0,1107.0999755859375,0,,0,15766.740234375,1,1859.3299560546875,1,4471.68994140625,1,1.9839999675750732,1,382.49200439453125,0,32.189998626708984,1,,0,1.0862009525299072,0,1097.199951171875,0,,0,16093.509765625,1,1906.9000244140625,1,4591.18017578125,1,2.0480000972747803,1
