Date,score
2016-01-01,0.335143687372366
2016-01-02,0.384013458786093
2016-01-03,0.451703597083808
2016-01-04,0.387517657962103
2016-01-05,0.338410314930113
2016-01-06,0.450669080686223
2016-01-07,0.418759118544973
2016-01-08,0.321019964299005
2016-01-09,0.395230997490762
2016-01-10,0.514398323545095
2016-01-11,0.292267459703571
2016-01-12,0.275274268472038
2016-01-13,0.382760837834724
2016-01-14,0.25678023915486
2016-01-15,0.328433415163811
2016-01-16,0.184408528875621
2016-01-17,0.342454267617877
2016-01-18,0.339116602970018
2016-01-19,0.368790085057322
2016-01-20,0.308782240544036
2016-01-21,0.400074614658838
2016-01-22,0.361932204728833
2016-01-23,0.309896291472873
2016-01-24,0.432271965364569
2016-01-25,0.473873680779183
2016-01-26,0.369477287443634
2016-01-27,0.251258460546559
2016-01-28,0.132536377744544
2016-01-29,0.23615425688907
2016-01-30,0.188440780315491
2016-01-31,0.267214169815528
2016-02-01,0.25133188060162
2016-02-02,0.197236480298067
2016-02-03,0.0907370585912043
2016-02-04,0.121934995851674
2016-02-05,0.342688256360461
2016-02-06,0.122069788279697
2016-02-07,0.0961090056598686
2016-02-08,0.101553487343198
2016-02-09,0.0884267648622529
2016-02-10,0.141081717404896
2016-02-11,0.135905054655376
2016-02-12,0.0804631405224258
2016-02-13,0.327131351686099
2016-02-14,0.257892325946976
2016-02-15,0.272713765346701
2016-02-16,0.317932420166954
2016-02-17,0.279708017637427
2016-02-18,0.328042581525197
2016-02-19,0.301453288268103
2016-02-20,0.345035695293859
2016-02-21,0.323802136646138
2016-02-22,0.297667550962437
2016-02-23,0.247762120736317
2016-02-24,0.269069719177505
2016-02-25,0.325663430716814
2016-02-26,0.367778329844368
2016-02-27,0.11944019025153
2016-02-28,0.418037027506589
2016-02-29,0.325380645215079
2016-03-01,0.306794570774045
2016-03-02,0.362246242316812
2016-03-03,0.387828946777702
2016-03-04,0.252352587585068
2016-03-05,0.258234336958401
2016-03-06,0.185497276671069
2016-03-07,0.307157811812587
2016-03-08,0.31270186384325
2016-03-09,0.326228339764807
2016-03-10,0.383015466315459
2016-03-11,0.364022311114576
2016-03-12,0.420869284753049
2016-03-13,0.380300514527231
2016-03-14,0.318177188887262
2016-03-15,0.305525627207052
2016-03-16,0.269461640464622
2016-03-17,0.165891178134706
2016-03-18,0.162225695262576
2016-03-19,0.190689229120994
2016-03-20,0.0662213165208315
2016-03-21,0.0947157356225036
2016-03-22,0.155100134405751
2016-03-23,0.213349972514556
2016-03-24,0.23239687337
2016-03-25,0.177572681530945
2016-03-26,0.211833059255588
2016-03-27,0.267766141171024
2016-03-28,0.39066720424671
2016-03-29,0.323451161620036
2016-03-30,0.325770829900083
2016-03-31,0.340003880260254
2016-04-01,0.314432506048617
2016-04-02,0.169552646125668
2016-04-03,0.281315346281489
2016-04-04,0.183887757065161
2016-04-05,0.251229313405686
2016-04-06,0.281933280655624
2016-04-07,0.326709679654044
2016-04-08,0.280555048615101
2016-04-09,0.113913109720956
2016-04-10,0.275407591109868
2016-04-11,0.241602955720438
2016-04-12,0.18305399043203
2016-04-13,0.298513950211851
2016-04-14,0.24314147157254
2016-04-15,0.246555382764852
2016-04-16,0.277560222371967
2016-04-17,0.332907474772136
2016-04-18,0.305559983001602
2016-04-19,0.331344326259922
2016-04-20,0.213485420122149
2016-04-21,0.319901559518665
2016-04-22,0.288478409646945
2016-04-23,0.244452079221585
2016-04-24,0.223738410657533
2016-04-25,0.291415766684592
2016-04-26,0.338122241804868
2016-04-27,0.380271252058925
2016-04-28,0.255369652552286
2016-04-29,0.293078866927023
2016-04-30,0.387141058712666
2016-05-01,0.317618308982936
2016-05-02,0.379980664201114
2016-05-03,0.331916227915672
2016-05-04,0.26869294116376
2016-05-05,0.302196756660324
2016-05-06,0.307207853049348
2016-05-07,0.398724862970966
2016-05-08,0.234659200775178
2016-05-09,0.308287265041371
2016-05-10,0.333984141096601
2016-05-11,0.361967533784696
2016-05-12,0.379450506902429
2016-05-13,0.396438592205135
2016-05-14,0.425940693864789
2016-05-15,0.351216612218672
2016-05-16,0.307589355958805
2016-05-17,0.314896110236684
2016-05-18,0.219321333258067
2016-05-19,0.333656484930794
2016-05-20,0.432482864505809
2016-05-21,0.422148927208042
2016-05-22,0.326163340188559
2016-05-23,0.228429413424294
2016-05-24,0.266673687229651
